species,n_strikes,mean_predicted_severity,risk_score
Blue jay,5,0.09996766643732671,0.17911801295571175
Bobolink,3,0.1285174482995479,0.17816301388318032
Reddish egret,1,0.25655044768721835,0.17782721948578714
Common myna,13,0.06721216267311218,0.1773767505417698
Rabbits,7,0.08520107000213617,0.17717064435801363
Virginia opossum,17,0.06127680750677805,0.17711275383163097
American golden-plover,14,0.06532267700037937,0.17689708858741207
Brown-headed cowbird,18,0.0599980379663477,0.17666056166162214
Domestic/feral cat,2,0.15938833125786966,0.175105979390199
Yellow bittern,8,0.07942824546776503,0.1745216930764675
Black-headed gull,3,0.12587023837751551,0.1744932016955662
Larks,1,0.2512063838366273,0.17412299669501763
Eastern cattle egret,1,0.24758433170905098,0.17161238147494695
Vesper sparrow,6,0.08739523550216331,0.1700632757427388
Swallow-tailed kite,3,0.12157686534526202,0.16854132287076898
Red-vented bulbul,2,0.15304173862097514,0.16813353472813614
Whimbrel,2,0.15302669049463485,0.16811700267161728
Yellow-chevroned parakeet,1,0.24183410047098733,0.16762662490471542
Short-billed dowitcher,1,0.2407000796163271,0.1668405815466115
Spotted dove,19,0.05548001086398657,0.1662032590823706
Lesser goldfinch,2,0.15051555136642952,0.16535823436681557
Little blue heron,1,0.23770490468018113,0.1647644844843381
Blue-billed white tern   ,2,0.14879044988637236,0.16346301668162522
Black noddy,11,0.06575713801223027,0.16340034951761828
Wrens,10,0.06810659334793442,0.16331247823541292
Acadian flycatcher,1,0.2354799492384002,0.16322226289299613
Western flycatcher,1,0.23368984942512636,0.1619814602545045
Richardson's ground squirrel,2,0.14566715218402687,0.1600317234446596
Turtles,11,0.06437995415605204,0.15997817619542032
"Longspurs, snow buntings",1,0.23068699897312894,0.15990004293005933
Ibises,3,0.11507957511768746,0.159534166065723
Yellow-bellied marmot,2,0.14489730736082507,0.15918596246152258
Philippine collared dove,1,0.22861731239721417,0.1584654455153212
Caspian tern,2,0.1441480204628083,0.15836278666762335
Kentucky warbler,1,0.22811843673613463,0.15811965125739397
Gunnison's prairie dog,2,0.1435720932875868,0.1577300659955471
Drongos,1,0.2251104234570822,0.1560346553339319
American goldfinch,10,0.06505771668648656,0.1560015913015818
Brown thrasher,3,0.11076154343320659,0.15354810309039013
Gray flycatcher,1,0.2213853553754484,0.1534526348957536
Ground squirrels,1,0.22044979787374314,0.1528041558511949
White-tailed hawk,1,0.2196959037895415,0.1522815962922897
Gambel's quail,1,0.21712279269965246,0.15049805159506557
Nanday parakeet,1,0.21526992333539877,0.14921374041928723
Swifts,1,0.21421152621378892,0.1484801154385306
Tyrant (New World) flycatchers,2,0.13456998736554152,0.1478402418056962
Long-nosed snake,1,0.21157296956104518,0.14665120733393358
Eastern cottontail,4,0.0908403492318263,0.14620190203245514
Boat-tailed grackle,6,0.074939492624041,0.14582551926217716
Black-tailed prairie dog,4,0.09011252709257192,0.14503051748803025
Lark sparrow,1,0.20449360982914627,0.14174416909559825
Golden-crowned sparrow,2,0.12850917827092573,0.14118176245507982
Alder flycatcher,1,0.20350467691810176,0.1410586930365448
Lark bunting,5,0.07778936090051487,0.13937982399869614
Field sparrow,3,0.09987898352883699,0.13846167166041315
American black bear,1,0.19913009347995184,0.13802646286026696
Ferruginous hawk,8,0.06162209200984833,0.13539757507091263
Eurasian skylark,4,0.08402500887509606,0.13523303487619134
Scaled quail,1,0.19379747970047279,0.13433017665400593
Red-legged partridge,1,0.19191214734601617,0.1330233638480959
Oriental plover,1,0.1897734753001294,0.1315409493493471
Semipalmated sandpiper,4,0.08121110423138501,0.13070423006062842
Arctic tern,2,0.11821727871168307,0.12987495512555794
American avocet,1,0.1873176563691663,0.1298387053813843
Snakes,2,0.11727761727685936,0.12884263152607311
Greater scaup,1,0.1827882648612652,0.1266991704280305
Red-footed booby,1,0.18252632148702652,0.1265176051167106
Purple gallinule,1,0.18019522996379794,0.12490181559975752
Brown noddy,7,0.06000170266766242,0.12477003309865906
Hares,2,0.11161347826942829,0.12261993880778495
Gopher tortoise,6,0.06290758397781974,0.12241250611498886
Green iguana,4,0.07527601521746971,0.12115207278796201
Domestic/feral chicken,1,0.1747801318468268,0.1211483556075235
Black skimmer,1,0.17289487160480196,0.11984159278614222
Least tern,2,0.10864117376149815,0.11935452854970928
Common snapping turtle,9,0.050996268236110365,0.11742324703879349
New World quail,4,0.07213523000381367,0.11609717399029154
Noddies,2,0.10473005471939474,0.11505772510761063
Downy woodpecker,1,0.1652581512860849,0.11454822162849865
Snowy egret,4,0.06885918344697696,0.11082458045881935
Common waxbill,2,0.09995820656976094,0.10981531409076475
Common gull,2,0.09945367873197043,0.10926103360819295
Scaly-breasted munia,4,0.06757904589351924,0.10876427854715386
Parrots,2,0.09883309102983329,0.10857924833242878
Blackburnian warbler,2,0.09659671611312505,0.106122339366864
Painted turtle,1,0.1517987509507038,0.10521887623400165
Common ground dove,1,0.15083013525981215,0.10454748299881399
White-tailed prairie dog,1,0.15010274021750525,0.10404329117608567
Florida bonneted bat,1,0.1476920950721247,0.10237235929023462
Munias,1,0.14541691049849295,0.1007953215177683
Rook,1,0.14215106385281473,0.09853160912317528
Bushtit,1,0.14142478658521618,0.09802819208283457
Vaux's swift,3,0.06851934940744771,0.09498798771114828
Brown booby,1,0.1362987513924398,0.09447509524151056
Painted bunting,1,0.133777644679204,0.09272759723134041
Sanderling,3,0.06559587256796577,0.09093518825370986
Wedge-tailed shearwater,1,0.13068387859308342,0.09058316199143396
Baird's sandpiper,1,0.12936791273010104,0.08967100396379458
Black-and-white warbler,3,0.06412854005088499,0.08890103345939292
Hawaiian duck,1,0.12374892064282159,0.08577621544090819
Eurasian curlew,1,0.11356790227755714,0.07871927126579613
Mottled duck,1,0.10813517077801152,0.07495358874414687
Northern saw-whet owl,1,0.10746927841916082,0.0744920273330531
Harris's hawk,1,0.1052080280446154,0.07292464801139682
"Falcons, caracaras",1,0.10143347190636398,0.07030832506630261
Rough-legged hawk,1,0.10115537972344393,0.07011556625377582
American oystercatcher,1,0.09987486258587264,0.06922797941020958
King rail,1,0.0968962726082423,0.067163378165171
Chestnut munia,1,0.09641492570286517,0.0668297339148376
Fox sparrow,1,0.09416986843955241,0.06527357880257673
Gray francolin,1,0.09360630031745068,0.06488294314768846
Little owl,1,0.07794542596942391,0.054027652248250124
Greater prairie chicken,1,0.0779310675568729,0.054017699755073076
Violet-green swallow,1,0.07657769552840202,0.05307961374928979
Ruddy turnstone,2,0.04818970117878377,0.05294179790225594
Eastern diamondback rattlesnake,1,0.06816907184708076,0.047251199952192374
Skunks,1,0.050977348950350665,0.03533480569735605
Spotted sandpiper,1,0.049426950438619444,0.03426015134020522
California towhee,1,0.024919380169697858,0.01727279810592748
Island canary,1,0.01676997833646915,0.011624063201974953
